Corporate	Category	Brand	SKU	Value 25	Share Value  25	Growth Value 25	Unit 25	Share Unit 25	Growth Unit 25	Value 24	Share Value  24	Growth Value 24	Unit 24	Share Unit 24	Growth Unit 24	Molecule
HIGHNOON	  METFORMIN+SITAGLIPTIN	   TAGIPMET           		1067810453	34.31	28.67	1601730	31.44	-10.13	829872724	32.9	23.58	1782219	34.32	11.33	  METFORMIN+SITAGLIPTIN
CCL	  METFORMIN+SITAGLIPTIN	   SITAMET            		573632259	18.43	28.32	947041	18.59	13.47	447028413	17.72	42.19	834629	16.07	16.51	  METFORMIN+SITAGLIPTIN
GETZ PHARMA	  METFORMIN+SITAGLIPTIN	   TREVIAMET          		523751494	16.83	2.89	912354	17.91	-6.59	509053279	20.18	41.98	976670	18.81	22.1	  METFORMIN+SITAGLIPTIN
PHARMEVO PVT. LTD.	  METFORMIN+SITAGLIPTIN	   INOSITA PLUS       		370309177	11.9	33.58	702680	13.79	21.58	277208985	10.99	28.08	577946	11.13	5.5	  METFORMIN+SITAGLIPTIN
HILTON	  METFORMIN+SITAGLIPTIN	   SITAGLU MET        		297218840	9.55	37.54	367097	7.2	-23.06	216095309	8.57	18.56	477098	9.19	6.19	  METFORMIN+SITAGLIPTIN
NABIQASIM	  METFORMIN+SITAGLIPTIN	   GLYTEC-M           		80720246	2.59	16.13	151971	2.98	-1.08	69510390	2.76	41.2	153623	2.96	39.12	  METFORMIN+SITAGLIPTIN
FEROZSONS	  METFORMIN+SITAGLIPTIN	   SITAGEN-M          		48654382	1.56	11.78	91804	1.8	1.61	43527003	1.73	20.35	90353	1.74	-2.55	  METFORMIN+SITAGLIPTIN
ATCO	  METFORMIN+SITAGLIPTIN	   NEOGLIP            		46419482	1.49	28.52	91323	1.79	24.39	36117847	1.43	65.04	73418	1.41	28.01	  METFORMIN+SITAGLIPTIN
MARTIN DOW LIMITED	  METFORMIN+SITAGLIPTIN	   DUVEL PLUS         		31915007	1.03	122.66	65173	1.28	90.24	14333733	0.57	999	34259	0.66	999	  METFORMIN+SITAGLIPTIN
GENIX PHARMA	  METFORMIN+SITAGLIPTIN	   GVIA-M             		30923450	0.99	30.39	74525	1.46	18.31	23716285	0.94	-4.14	62990	1.21	-11.36	  METFORMIN+SITAGLIPTIN
SCILIFE	  METFORMIN+SITAGLIPTIN	   GLUSIMET           		28764200	0.92	9.92	59526	1.17	3.85	26167398	1.04	50.58	57318	1.1	29.68	  METFORMIN+SITAGLIPTIN
THE SEARLE COMPANY	  METFORMIN+SITAGLIPTIN	   JENTIN MET         		12146165	0.39	-58.14	29189	0.57	-57.52	29016222	1.15	28.79	68707	1.32	22.58	  METFORMIN+SITAGLIPTIN
SCOTMANN PHARMA	  METFORMIN+SITAGLIPTIN	   TRAPEZE PLUS       		222253	0.01	-80.08	650	0.01	-81.92	1115806	0.04	-54.13	3595	0.07	-54.23	  METFORMIN+SITAGLIPTIN
SAMI	  METFORMIN+SITAGLIPTIN	   ITAGLIP PLUS       		86556194	67.87	309.51	201449	67.52	299.5	21136531	68.6	999	50425	64.45	999	  METFORMIN+SITAGLIPTIN
MARTIN DOW MARKER	  METFORMIN+SITAGLIPTIN	   SITAPHAGE          		32575720	25.54	999	75920	25.45	999	0	0	0	0	0	0	  METFORMIN+SITAGLIPTIN
ASPIN PHARMA PVT.	  METFORMIN+SITAGLIPTIN	   JANTOVIA-M         		4942499	3.88	-48.92	13720	4.6	-50.66	9676848	31.4	-6.39	27809	35.55	-9.78	  METFORMIN+SITAGLIPTIN
HORIZON HEALTHCARE	  METFORMIN+SITAGLIPTIN	   SITAZEE-M          		3456712	2.71	999	7262	2.43	999	0	0	0	0	0	0	  METFORMIN+SITAGLIPTIN
BARRETT HODGSON	  METFORMIN+SITAGLIPTIN	   S-GLIPTIN PLUS     		94741778	97.95	-1.26	210810	96.45	-12.91	95950003	95.5	25.78	242051	93.18	8.86	  METFORMIN+SITAGLIPTIN
WILSHIRE	  METFORMIN+SITAGLIPTIN	   QOSMET             		1978392	2.05	-56.28	7758	3.55	-56.23	4524647	4.5	-80.59	17726	6.82	-80.91	  METFORMIN+SITAGLIPTIN
GETZ PHARMA	  NEBIVOLOL	   NEBIL              		913088132	38.52	31.68	3058674	34.93	1.32	693409488	34.86	39.74	3018927	34.04	15.26	  NEBIVOLOL
THE SEARLE COMPANY	  NEBIVOLOL	   BYSCARD            		369021901	15.57	-14.72	1510354	17.25	-28.18	432723191	21.76	17.95	2103016	23.71	7.03	  NEBIVOLOL
PHARMEVO PVT. LTD.	  NEBIVOLOL	   BYVAS              		290969246	12.28	48.53	1148851	13.12	36	195898975	9.85	77.19	844719	9.52	35.16	  NEBIVOLOL
SCILIFE	  NEBIVOLOL	   NIBOVO             		274581332	11.58	35.37	510223	5.83	14.89	202844407	10.2	35.68	444081	5.01	13.34	  NEBIVOLOL
ATCO	  NEBIVOLOL	   BYNEVOL            		190400305	8.03	14.61	837410	9.56	8.89	166133001	8.35	22.93	769012	8.67	1.22	  NEBIVOLOL
TABROS PHARMA	  NEBIVOLOL	   NEBIVOL            		115504382	4.87	27.67	630502	7.2	21.78	90469132	4.55	28.99	517755	5.84	16.86	  NEBIVOLOL
HORIZON HEALTHCARE	  NEBIVOLOL	   VOLOXO             		57735166	2.44	23.57	115828	1.32	14.87	46724011	2.35	57.83	100830	1.14	5.59	  NEBIVOLOL
NABIQASIM	  NEBIVOLOL	   NABILOC            		46153581	1.95	-13.54	181796	2.08	-29.72	53382128	2.68	30.8	258674	2.92	11.06	  NEBIVOLOL
BARRETT HODGSON	  NEBIVOLOL	   NEBICARE           		35528233	1.5	5.61	184580	2.11	-4.46	33641982	1.69	14.86	193204	2.18	-2.98	  NEBIVOLOL
WERRICK PHARMA	  NEBIVOLOL	   BETANORM           		31490480	1.33	-3.74	357494	4.08	-2	32714217	1.64	5.76	364807	4.11	4.29	  NEBIVOLOL
WILSONS	  NEBIVOLOL	   NIB                		27365991	1.15	4.01	124296	1.42	-28.27	26310918	1.32	16.91	173280	1.95	10.16	  NEBIVOLOL
SHAIGAN PHARMA	  NEBIVOLOL	   BIVOLOL            		12278725	0.52	131.25	62952	0.72	137.36	5309607	0.27	999	26522	0.3	999	  NEBIVOLOL
HELIX PHARMA PVT L	  NEBIVOLOL	   VOPIL              		4418883	0.19	134.98	24169	0.28	128.42	1880547	0.09	999	10581	0.12	999	  NEBIVOLOL
ASPIN PHARMA PVT.	  NEBIVOLOL	   ANVOL              		1481783	0.06	-79.44	6996	0.08	-83.15	7207547	0.36	-26.52	41525	0.47	-32.76	  NEBIVOLOL
NEUTRO PHARMA	  NEBIVOLOL	   NEUTOBIV           		349164	0.01	-10.97	1786	0.02	-10.97	392175	0.02	107.66	2006	0.02	107.66	  NEBIVOLOL
GENIX PHARMA	  NEBIVOLOL	   NEBILOL            		531	0	-73.07	5	0	-50	1972	0	33.69	10	0	11.11	  NEBIVOLOL
SCOTMANN PHARMA	  NEBIVOLOL	   NOBU               		119	0	-98.62	2	0	-97.37	8634	0	-88.43	76	0	-89.78	  NEBIVOLOL
HIGHNOON	  NEBIVOLOL	   NEBIX              		607118203	69.7	29.94	1705335	58.76	4.49	467217293	70.1	29.1	1632034	60.15	-11.57	  NEBIVOLOL
CCL	  NEBIVOLOL	   NABIZ              		67318906	7.73	17.83	290801	10.02	3.36	57132438	8.57	24.14	281356	10.37	8.38	  NEBIVOLOL
GENIX PHARMA	  NEBIVOLOL	   GNEB               		61738108	7.09	48.23	246056	8.48	1.5	41650192	6.25	63.43	242409	8.93	16.23	  NEBIVOLOL
MCOLSON RESEARCH	  NEBIVOLOL	   BISTOLIC           		37828609	4.34	25.65	171552	5.91	13.64	30107321	4.52	9.84	150967	5.56	-24.53	  NEBIVOLOL
DANEEN PHARMA	  NEBIVOLOL	   DANLOL             		29257721	3.36	9.73	138103	4.76	-11.81	26662803	4	193.86	156595	5.77	151.7	  NEBIVOLOL
MARTIN DOW LIMITED	  NEBIVOLOL	   BEVIS              		18317861	2.1	49.46	82022	2.83	6.88	12255852	1.84	60.88	76739	2.83	40.34	  NEBIVOLOL
CELL LABORATORIES	  NEBIVOLOL	   NEBIFIX            		17346419	1.99	32.83	91858	3.17	39.6	13059337	1.96	1.18	65800	2.42	-3.07	  NEBIVOLOL
FEROZSONS	  NEBIVOLOL	   NEBINORM           		13546639	1.56	999	78368	2.7	999	0	0	0	0	0	0	  NEBIVOLOL
SAFFRON PHARMA	  NEBIVOLOL	   B-VOL              		8958780	1.03	87.94	42357	1.46	29.71	4766763	0.72	38.08	32656	1.2	18.36	  NEBIVOLOL
DYNATIS	  NEBIVOLOL	   BETANEB            		4085610	0.47	15.64	33262	1.15	16.3	3533093	0.53	-31.2	28601	1.05	-29.68	  NEBIVOLOL
PHARMATEC	  NEBIVOLOL	   NEBTEC             		3693492	0.42	7.65	15449	0.53	-8.3	3431147	0.51	8.1	16847	0.62	-27.36	  NEBIVOLOL
NABIQASIM	  NEBIVOLOL	   NABILOC            		1256305	0.14	-46.17	3423	0.12	-46.51	2333972	0.35	40.59	6399	0.24	28.78	  NEBIVOLOL
SCOTMANN PHARMA	  NEBIVOLOL	   NOBU               		381772	0.04	-84.97	1144	0.04	-88.03	2540091	0.38	41.64	9561	0.35	54.31	  NEBIVOLOL
WILSHIRE	  NEBIVOLOL	   BYVOL              		246340	0.03	-69.94	2254	0.08	-67.33	819407	0.12	23.2	6899	0.25	21.53	  NEBIVOLOL
NEXT PHARMACUETICA	  NEBIVOLOL	   NEVO               		0	0	-100	0	0	-100	1016952	0.15	-76.96	6597	0.24	-75.13	  NEBIVOLOL
THE SEARLE COMPANY	  AMLODIPINE+VALSARTAN	   EXTOR              		3343520861	30.58	2.93	9731983	35.65	1.37	3248293072	34.12	22.66	9600723	37.37	22.11	  AMLODIPINE+VALSARTAN
PHARMEVO PVT. LTD.	  AMLODIPINE+VALSARTAN	   AVSAR              		1527747955	13.97	30.72	3741897	13.71	22.58	1168761027	12.28	40.86	3052531	11.88	18.55	  AMLODIPINE+VALSARTAN
GETZ PHARMA	  AMLODIPINE+VALSARTAN	   COVAM              		1062265034	9.72	6.46	2228024	8.16	-1.66	997777942	10.48	35.11	2265698	8.82	12.38	  AMLODIPINE+VALSARTAN
HIGHNOON	  AMLODIPINE+VALSARTAN	   BIFORGE            		757637183	6.93	61.87	2014664	7.38	2.95	468056599	4.92	85.54	1956961	7.62	11.9	  AMLODIPINE+VALSARTAN
TABROS PHARMA	  AMLODIPINE+VALSARTAN	   VALTEC AM          		699753829	6.4	18.13	1185319	4.34	16.29	592373840	6.22	13.3	1019315	3.97	9.68	  AMLODIPINE+VALSARTAN
SCILIFE	  AMLODIPINE+VALSARTAN	   AMSTAN             		585510193	5.35	10.55	993520	3.64	6	529640731	5.56	20.41	937312	3.65	32.02	  AMLODIPINE+VALSARTAN
NOVARTIS GEN.MED	  AMLODIPINE+VALSARTAN	   EXFORGE            		517278957	4.73	30.48	207181	0.76	1.57	396433999	4.16	12.56	203976	0.79	-3.32	  AMLODIPINE+VALSARTAN
CCL	  AMLODIPINE+VALSARTAN	   VALAM              		412832477	3.78	3.65	894767	3.28	-5.77	398303468	4.18	46.18	949538	3.7	25	  AMLODIPINE+VALSARTAN
WERRICK PHARMA	  AMLODIPINE+VALSARTAN	   NEWDAY             		313639605	2.87	-21.04	1482638	5.43	-19.57	397209281	4.17	17.41	1843457	7.18	17.77	  AMLODIPINE+VALSARTAN
MARTIN DOW MARKER	  AMLODIPINE+VALSARTAN	   LODOPIN-V          		237991319	2.18	40.13	744106	2.73	32.91	169841251	1.78	78.86	559846	2.18	49.85	  AMLODIPINE+VALSARTAN
SAMI	  AMLODIPINE+VALSARTAN	   ONATO-V            		159142431	1.46	59.53	542416	1.99	51.74	99758700	1.05	124.06	357466	1.39	110.19	  AMLODIPINE+VALSARTAN
CELL LABORATORIES	  AMLODIPINE+VALSARTAN	   VMED               		140465226	1.28	16.5	421375	1.54	17.44	120566421	1.27	-3.71	358788	1.4	-3.68	  AMLODIPINE+VALSARTAN
GENIX PHARMA	  AMLODIPINE+VALSARTAN	   EXVAL-A            		139767969	1.28	15.37	437465	1.6	15.45	121144434	1.27	3.22	378930	1.47	-10.63	  AMLODIPINE+VALSARTAN
FEROZSONS	  AMLODIPINE+VALSARTAN	   COVANCE            		113033652	1.03	2.29	262901	0.96	-0.39	110500862	1.16	61.43	263931	1.03	10.06	  AMLODIPINE+VALSARTAN
HORIZON HEALTHCARE	  AMLODIPINE+VALSARTAN	   ALVOSTAN           		104308062	0.95	10.85	251273	0.92	12.48	94100496	0.99	17.32	223397	0.87	4.88	  AMLODIPINE+VALSARTAN
MARTIN DOW LIMITED	  AMLODIPINE+VALSARTAN	   DOWTOR             		100642054	0.92	75.72	238024	0.87	50.36	57273516	0.6	52.33	158299	0.62	31.68	  AMLODIPINE+VALSARTAN
BARRETT HODGSON	  AMLODIPINE+VALSARTAN	   AV-SARTAN          		88730100	0.81	-8.11	229979	0.84	-12.58	96564279	1.01	34.34	263072	1.02	10.6	  AMLODIPINE+VALSARTAN
OBS PAK PVT. LTD	  AMLODIPINE+VALSARTAN	   NORVASC-V          		62954080	0.58	999	166421	0.61	999	1628536	0.02	999	4136	0.02	999	  AMLODIPINE+VALSARTAN
EFROZE	  AMLODIPINE+VALSARTAN	   VALCARD            		61114914	0.56	79.68	107472	0.39	27.58	34013277	0.36	-8.33	84237	0.33	-7.97	  AMLODIPINE+VALSARTAN
NABIQASIM	  AMLODIPINE+VALSARTAN	   REDUPRES-AM        		58564410	0.54	49.66	145837	0.53	41.02	39132386	0.41	65.92	103417	0.4	49.45	  AMLODIPINE+VALSARTAN
ATCO	  AMLODIPINE+VALSARTAN	   DIOPLUS            		951682563	65.51	11.4	2238767	63.63	10.54	854271397	66.22	18.63	2025268	59.33	1.93	  AMLODIPINE+VALSARTAN
WILSONS	  AMLODIPINE+VALSARTAN	   SOFVASC-V          		245929984	16.93	17.11	531259	15.1	-22.71	210000413	16.28	20.49	687361	20.14	16.12	  AMLODIPINE+VALSARTAN
HELIX PHARMA PVT L	  AMLODIPINE+VALSARTAN	   VALSAR-M           		75733506	5.21	33.58	227860	6.48	33.07	56695228	4.39	9.25	171238	5.02	-3.7	  AMLODIPINE+VALSARTAN
SAFFRON PHARMA	  AMLODIPINE+VALSARTAN	   PRESTOR            		73866473	5.08	22.01	200215	5.69	2.72	60540856	4.69	20.81	194906	5.71	7.94	  AMLODIPINE+VALSARTAN
MASS-PHARMA HEALTH	  AMLODIPINE+VALSARTAN	   AMODIP-V           		66910088	4.61	-2.99	243080	6.91	-2.75	68971539	5.35	-2.99	249952	7.32	-2.73	  AMLODIPINE+VALSARTAN
PHARMATEC	  AMLODIPINE+VALSARTAN	   VALMO              		37970878	2.61	-1.83	75797	2.15	-8.27	38679122	3	12.98	82632	2.42	-15.34	  AMLODIPINE+VALSARTAN
HIMONT PHARMA	  AMLODIPINE+VALSARTAN	   CARDIOSIL PLUS     		699952	0.05	-23.85	1179	0.03	-47.18	919229	0.07	326.33	2232	0.07	305.08	  AMLODIPINE+VALSARTAN
GETZ PHARMA	  GLIMEPIRIDE	   GETRYL             		3298836883	53.73	4.25	5723921	43.76	-8.67	3164256640	56.12	16.6	6266990	47.08	-27.94	  GLIMEPIRIDE
HOECHST PAK. LTD.	  GLIMEPIRIDE	   AMARYL             		1313489912	21.39	14.87	2065768	15.79	1.85	1143409412	20.28	18.78	2028166	15.24	-3.77	  GLIMEPIRIDE
HIGH-Q INTL	  GLIMEPIRIDE	   ZEENARYL           		558319515	9.09	12.62	2369831	18.12	12.01	495761877	8.79	18.15	2115647	15.89	8.31	  GLIMEPIRIDE
PHARMEVO PVT. LTD.	  GLIMEPIRIDE	   EVOPRIDE           		195619989	3.19	24.34	389758	2.98	13.05	157324454	2.79	26.53	344777	2.59	0.2	  GLIMEPIRIDE
CCL	  GLIMEPIRIDE	   ORINASE            		190373294	3.1	22.45	498751	3.81	6.01	155472441	2.76	21.63	470454	3.53	3.11	  GLIMEPIRIDE
SAMI	  GLIMEPIRIDE	   GPRIDE             		172853658	2.82	23.26	507492	3.88	4.55	140236939	2.49	28.36	485409	3.65	4.06	  GLIMEPIRIDE
BARRETT HODGSON	  GLIMEPIRIDE	   DIABOLD            		97571652	1.59	1.12	427377	3.27	-8.7	96495375	1.71	4.81	468102	3.52	-6.7	  GLIMEPIRIDE
MARTIN DOW MARKER	  GLIMEPIRIDE	   GLIOPTIM           		80155552	1.31	-4.24	333186	2.55	-10.32	83707486	1.48	5.53	371513	2.79	-11.58	  GLIMEPIRIDE
NABIQASIM	  GLIMEPIRIDE	   NORLIM             		63365082	1.03	24.57	169946	1.3	18.62	50865682	0.9	82.47	143267	1.08	34.67	  GLIMEPIRIDE
AGP LIMITED	  GLIMEPIRIDE	   GLUCONORM          		59184055	0.96	-0.88	148457	1.13	-29.5	59707050	1.06	44.59	210584	1.58	20.63	  GLIMEPIRIDE
SAFFRON PHARMA	  GLIMEPIRIDE	   SAFGO              		34729859	0.57	84.21	111710	0.85	28.97	18853850	0.33	37.76	86616	0.65	10.75	  GLIMEPIRIDE
WILSHIRE	  GLIMEPIRIDE	   GLYSET             		20275050	0.33	-6.79	82610	0.63	-9.39	21752744	0.39	-22.34	91173	0.68	-23.89	  GLIMEPIRIDE
MASS-PHARMA HEALTH	  GLIMEPIRIDE	   GLIP               		15353190	0.25	-8.84	69609	0.53	-6.92	16842806	0.3	-2.55	74783	0.56	-4.59	  GLIMEPIRIDE
SHAIGAN PHARMA	  GLIMEPIRIDE	   DILGEM             		9224603	0.15	35.03	30913	0.24	22.91	6831637	0.12	40.4	25151	0.19	17.59	  GLIMEPIRIDE
AXIS PHARMACEUTICA	  GLIMEPIRIDE	   GLANYL             		8272364	0.13	999	39663	0.3	999	0	0	0	0	0	0	  GLIMEPIRIDE
NOVAMED PHARMA	  GLIMEPIRIDE	   DIABRYL            		5396659	0.09	30.03	28706	0.22	28.95	4150162	0.07	3.4	22261	0.17	6.51	  GLIMEPIRIDE
MACTER	  GLIMEPIRIDE	   GLIO               		5395234	0.09	-39.52	21691	0.17	-37.95	8920934	0.16	-32.51	34957	0.26	-30.67	  GLIMEPIRIDE
MEGA PHARMA	  GLIMEPIRIDE	   MEGAPRIDE          		3946163	0.06	-1.86	26225	0.2	8.98	4020951	0.07	36.63	24065	0.18	31.85	  GLIMEPIRIDE
SCHAZOO ZAKA PVT L	  GLIMEPIRIDE	   GLEMEX             		3401745	0.06	6.27	13224	0.1	0.32	3200892	0.06	-21.18	13182	0.1	-23.97	  GLIMEPIRIDE
MAPLE PHARMA PVT L	  GLIMEPIRIDE	   GLYPER             		1159192	0.02	15.23	4790	0.04	16.04	1006004	0.02	-4.52	4128	0.03	-3.03	  GLIMEPIRIDE
ARIES PHARMA	  GLIMEPIRIDE	   GLACTIL            		3231465	100	11.9	12408	100	11.77	2887911	100	0.12	11101	100	-1.67	  GLIMEPIRIDE
SHAIGAN PHARMA	  WARFARIN	   WARFIN             		83722486	100	7.11	75023	99.89	-10.29	78162837	100	31.53	83633	100	19.29	  WARFARIN
EVANS	  WARFARIN	   MAREVAN            		2391	0	999	86	0.11	999	0	0	-100	0	0	-100	  WARFARIN
PHARMEVO PVT. LTD.	  ROSUVASTATIN	   X-PLENDED          		1830986552	41.33	34.56	4827541	34.87	16.75	1360709807	36.63	22.59	4134878	31.58	3.06	  ROSUVASTATIN
TABROS PHARMA	  ROSUVASTATIN	   RAST               		554962331	12.53	11.52	2038480	14.72	8.76	497653747	13.4	12.51	1874322	14.31	2.92	  ROSUVASTATIN
CCL	  ROSUVASTATIN	   CRESTAT            		349892508	7.9	6.62	967272	6.99	-6.76	328180434	8.83	14.69	1037350	7.92	-1.97	  ROSUVASTATIN
HIGHNOON	  ROSUVASTATIN	   ROSULIN            		279032873	6.3	23.04	819089	5.92	5.6	226783893	6.1	10.16	775646	5.92	-2.32	  ROSUVASTATIN
SCILIFE	  ROSUVASTATIN	   KESTORE            		259687743	5.86	40.89	1130133	8.16	1.92	184324608	4.96	47.11	1108805	8.47	28.25	  ROSUVASTATIN
SAMI	  ROSUVASTATIN	   ROSERA             		226862676	5.12	25.07	875042	6.32	15.61	181389631	4.88	51.01	756877	5.78	28.57	  ROSUVASTATIN
ATCO	  ROSUVASTATIN	   ROVATOR            		159981281	3.61	-4.77	485237	3.5	-6.87	167992844	4.52	9.42	521053	3.98	-9.08	  ROSUVASTATIN
THE SEARLE COMPANY	  ROSUVASTATIN	   VAPTOR             		142426048	3.21	-36.73	530801	3.83	-37.81	225109937	6.06	7.14	853515	6.52	-6.08	  ROSUVASTATIN
MARTIN DOW MARKER	  ROSUVASTATIN	   CRESCOR            		131012726	2.96	25.72	429756	3.1	15.6	104213047	2.81	103.49	371777	2.84	44.81	  ROSUVASTATIN
NABIQASIM	  ROSUVASTATIN	   ROVIROS            		73976643	1.67	28.39	226448	1.64	9.3	57617189	1.55	102.66	207176	1.58	79.39	  ROSUVASTATIN
FEROZSONS	  ROSUVASTATIN	   AURORA             		69335086	1.57	-10.27	235297	1.7	-15.6	77271551	2.08	-0.38	278783	2.13	-20.8	  ROSUVASTATIN
NOVAMED PHARMA	  ROSUVASTATIN	   ROSOMED            		64327832	1.45	23.59	105328	0.76	17.41	52049503	1.4	13.92	89707	0.69	12.81	  ROSUVASTATIN
SAFFRON PHARMA	  ROSUVASTATIN	   ROSTOR             		46968775	1.06	8.36	173738	1.25	-3.61	43347025	1.17	5.27	180254	1.38	-5.71	  ROSUVASTATIN
L.C.I	  ROSUVASTATIN	   XENECOR            		34080605	0.77	3.96	109527	0.79	-10.18	32783772	0.88	35.67	121940	0.93	22.6	  ROSUVASTATIN
CELL LABORATORIES	  ROSUVASTATIN	   RUSIAM             		27568560	0.62	10.1	136624	0.99	7.96	25039810	0.67	-39.88	126546	0.97	-35.41	  ROSUVASTATIN
STANDPHARM	  ROSUVASTATIN	   ROVIN              		21601150	0.49	38.22	74443	0.54	14.58	15628373	0.42	37.1	64969	0.5	34.47	  ROSUVASTATIN
HELIX PHARMA PVT L	  ROSUVASTATIN	   LOSTER             		18010424	0.41	0.21	70731	0.51	2.35	17972730	0.48	11.73	69109	0.53	-7.87	  ROSUVASTATIN
ABBOTT PHARMA	  ROSUVASTATIN	   RUVASTAT           		17346068	0.39	-21.68	63905	0.46	-19.94	22147703	0.6	20.15	79822	0.61	17.85	  ROSUVASTATIN
GLOBAL	  ROSUVASTATIN	   ROVAST             		16274108	0.37	174.85	88315	0.64	164.88	5921185	0.16	45.3	33341	0.25	50.05	  ROSUVASTATIN
ROTEX PHARMA	  ROSUVASTATIN	   ROVI               		15619760	0.35	24.53	135824	0.98	24.53	12542475	0.34	999	109065	0.83	999	  ROSUVASTATIN
GETZ PHARMA	  ROSUVASTATIN	   ROVISTA            		2861609995	64.73	4.71	2473542	34.32	-40.25	2732827172	66.79	46.97	4139761	47.01	-36.72	  ROSUVASTATIN
HIGH-Q INTL	  ROSUVASTATIN	   FORTIUS            		570143341	12.9	45.67	1763949	24.47	20.26	391395896	9.57	69.65	1466823	16.66	38.94	  ROSUVASTATIN
HILTON	  ROSUVASTATIN	   ROLIP              		333003134	7.53	-1.68	1130965	15.69	-9.33	338699049	8.28	33.43	1247387	14.17	13.64	  ROSUVASTATIN
